Processed,Organism
klebsiellapneumoni,Klebsiella-pneumoniae
"klebsiellapneumonia
",Klebsiella-pneumoniae
klebsiellapneumoniaae105cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniac105cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniacc104cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniacc105cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniacc105cfumle,Klebsiella-pneumoniae
"klebsiellapneumoniaccc105cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniae,Klebsiella-pneumoniae
"klebsiellapneumoniae102cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniae103cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniae104cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniae105cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniae5cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniaecc100000cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniaecc10000cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniaecc102cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniaecc103104cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniaecc1034cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniaecc103cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniaecc104cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniaecc105cfuml
",Klebsiella-pneumoniae
klebsiellapneumoniaecc15,Klebsiella-pneumoniae
"klebsiellapneumoniaecfuml
",Klebsiella-pneumoniae
klebsiellapneumoniaecolonycount105cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniaefuml
",Klebsiella-pneumoniae
"klebsiellapneumoniaeiae105cfuml
",Klebsiella-pneumoniae
"klebsiellapneumoniaeinsignifiacntcount
",Klebsiella-pneumoniae
"klebsiellapneumoniaeinsignificantcount
",Klebsiella-pneumoniae
klebsiellapneumoniaeinsignoificantcount,Klebsiella-pneumoniae
"klebsiellapneumoniaeml
",Klebsiella-pneumoniae
klebsiellapneumoniaeperipheralline,Klebsiella-pneumoniae
"klebsiellapneumoniaeuml
",Klebsiella-pneumoniae
klebsiellapneumoniaspp,Klebsiella-pneumoniae
"klebsiellapneumonie
",Klebsiella-pneumoniae
klebsiellapneumonie105cfuml,Klebsiella-pneumoniae
"klebsiellapneumoniea
",Klebsiella-pneumoniae
klebsiellapnsuminiae,Klebsiella-pneumoniae
klebsiellapnuemoniae,Klebsiella-pneumoniae
"klebsiellapnuemoniea
",Klebsiella-pneumoniae
klebsiellapnuemonieaspp,Klebsiella-pneumoniae
klebsiellappneumoniae,Klebsiella-pneumoniae
"klebsiellasp
",Klebsiella-species
klebsiellaspecies,Klebsiella-species
klebsiellaspecies105cfuml,Klebsiella-species
"klebsiellaspp
",Klebsiella-species
klebsiellaspp100000cfuml,Klebsiella-species
"klebsiellaspp104cfuml
",Klebsiella-species
klebsiellaspp105cfuml,Klebsiella-species
"klebsiellasppcc103cfuml
",Klebsiella-species
klebsiellasppcc105cfuml,Klebsiella-species
"klebsiellasppcc105cfumlpredominantprocessed
",Klebsiella-species
klebsiellasppinsignificantcount,Klebsiella-species
"klebsillapneumoneia
",Klebsiella-pneumoniae
klebsillapneumoniae,Klebsiella-pneumoniae
kleibsellaoxytoca, Klebsiella-oxytoca
"klesiellapneumoniaecc103cfuml
",Klebsiella-pneumoniae
kliebsiellapnoneiaumi,Klebsiella-pneumoniae
ls,
"methcillinresetantstaphylococcusspp
",Staphylococcus-aureus
"methcillinresistantcoagulasenegativestaphylococci
",Staphylococcus-aureus
"methcillinresistantstapylococcusaureus
",Staphylococcus-aureus
"methcillinsensetivestapylococcusaureus
",Staphylococcus-aureus
"methcillinsensitivestapylococcusaureus
",Staphylococcus-aureus
"methicillinresistantcoagulasenegativestaphylococci
",Staphylococcus-aureus
"methicillinresistantcoagulasenegativestaphylococcimrcons
",Staphylococcus-aureus
"methicillinresistantcoagulasenegativestaphylococcus
",Staphylococcus-aureus
"methicillinresistantcoagulasenegativestaphylococcusspp
",Staphylococcus-aureus
"methicillinresistantstaphylococcusaureus
",Staphylococcus-aureus
"methicillinresistantstaphylococcussppmrcons
",Staphylococcus-aureus
"methicillinresistantstapylococcusaureus
",Staphylococcus-aureus
"methicillinresistantstapylococcusaureusmrsa
",Staphylococcus-aureus
"methicillinsensetivecoagulasenegativestaphylococcusspecies
",Staphylococci
"methicillinsensetivestapylococcusaureus
",Staphylococcus-aureus
"methicillinsensitivecoagulasenegativestaphylococcimscons
",Staphylococci
"methicillinsensitivecoagulasenegativestaphylococcus
",Staphylococci
"methicillinsensitivecoagulasenegativestaphylococcusaureus
",Staphylococcus-aureus
"methicillinsensitivecoagulasenegativestaphylococcusaureusmscons
",
"methicillinsensitivecoagulasenegativestaphylococcusspp
",
methicillinsensitivecons,
"methicillinsensitivestaphylococcusaureus
",Staphylococcus-aureus
"methicillinsensitivestaphylococcusaureusmssa
",Staphylococcus-aureus
"methicillinsensitivestapylococcusaureus
",Staphylococcus-aureus
"methicillinsensitivestapylococcusaureusmssa
",Staphylococcus-aureus
"methicillinsenstivecoagulasenegativestaphylococcus
",Staphylococcus-aureus
methicillinsenstivecoagulasenegativestphylococcusaures,Staphylococcus-aureus
"mixedgrowth
",Mixed growth
"mixedgrowthpleaserepeatcleancatchmidstreamsample
",Mixed growth
mixtureofgnbgrownonculture,Mixed growth
"morethan3typesofcoloniespredominantlygnb
",Mixed growth
"morethanthreetypesofbacteriagrownpredominantlygnb
",Mixed growth
morethanthreetypesofbacteriapredominantlygnb,Mixed growth
"morgagnellamorgagnii
",Morganella-morganii
morgagnellamorgagnii105cfuml,Morganella-morganii
"morgagnellamorganii105cfuml
",Morganella-morganii
morganellamorafigni,Morganella-morganii
morganellamorgani,Morganella-morganii
"morganellamorganii
",Morganella-morganii
morganellamorganii105cfuml,Morganella-morganii
"morganellamorganiicc102cfuml
",Morganella-morganii
morganellamorgannii,Morganella-morganii
mrsa,
mssa,
"mtuberculosis
",
mycobacteriumtuberculosis,
"nogrowthobtained
",No growth
nonfermentativebacteriaunderidentification,
organismunderprocess,
"p
",
proteusmirabilis,Proteus mirabilis
proteusmirabilis102cfuml,Proteus mirabilis
"proteusmirabilis103cfuml
",Proteus mirabilis
proteusmirabilis104cfuml,Proteus mirabilis
"proteusmirabilis105cfuml
",Proteus mirabilis
proteusmirabiliscc105cfuml,Proteus mirabilis
proteusmirabilisl,Proteus mirabilis
"proteusmirabillis
",Proteus mirabilis
proteussp,Proteus sp
proteusspp,Proteus sp
proteusspp104cfuml,Proteus sp
"proteusspp105cfuml
",Proteus sp
proteusvulgaris,Proteus vulgaris
proteusvulgaris104cfuml,Proteus vulgaris
"proteusvulgaris105cfuml
",Proteus vulgaris
proteusvulgariscc1045cfuml,Proteus vulgaris
"proteusvulgariscc105cfuml
",Proteus vulgaris
protiusmirabiliscc105cfuml,Proteus mirabilis
"providenciaaeruginosa
",Providencia
providenciaretgerii,Providencia
"providenciarettgeri105cfuml
",Providencia
providenciarettgericc104cfuml,Providencia
"providenciarettgericc105cfuml
",Providencia
providenciaspp,Providencia
providenciasppcc104cfuml,Providencia
"providenciasppcc105cfuml
",Providencia
providenciastartii,Providencia
providenciastuartii,Providencia
"providenciasturartii
",Providencia
providentiaspp,Providencia
psedomonasaeruginosa,Pseudomonas aeruginosa
"psedomonassp
",Pseudomonas aeruginosa
pseodomonasaeruginosa,Pseudomonas aeruginosa
pseudom,Pseudomonas aeruginosa
"pseudomonaaeruginosa
",Pseudomonas aeruginosa
pseudomonadaeruginosa,Pseudomonas aeruginosa
pseudomonas,Pseudomonas aeruginosa
"pseudomonas103cfuml
",Pseudomonas aeruginosa
pseudomonasaaeruginosa,Pseudomonas aeruginosa
pseudomonasacruginosa,Pseudomonas aeruginosa
"pseudomonasaeeruginosa
",Pseudomonas aeruginosa
pseudomonasaemginosa,Pseudomonas aeruginosa
pseudomonasaereginosa,Pseudomonas aeruginosa
"pseudomonasaerginosa
",Pseudomonas aeruginosa
pseudomonasaerginose,Pseudomonas aeruginosa
"pseudomonasaeriginosa
",Pseudomonas aeruginosa
pseudomonasaerignosacc105cfuml,Pseudomonas aeruginosa
"pseudomonasaerogenosa
",Pseudomonas aeruginosa
pseudomonasaeroginosa,Pseudomonas aeruginosa
"pseudomonasaeroginosa104cfuml
",Pseudomonas aeruginosa
pseudomonasaeroginosa105cfuml,Pseudomonas aeruginosa
"pseudomonasaeroginosacc10000cfuml
",Pseudomonas aeruginosa
pseudomonasaeroginosacc104cfuml,Pseudomonas aeruginosa
"pseudomonasaeroginosacc105cfuml
",Pseudomonas aeruginosa
"pseudomonasaeroginosacc15colonies
",Pseudomonas aeruginosa
"pseudomonasaeroginosainsignificantcount
",Pseudomonas aeruginosa
"pseudomonasaeroginosainsignificantcountofgnb
",Pseudomonas aeruginosa
"pseudomonasaeru321321321321321321321321321321321321321321321321321321321321321321321321321321ginosa
",Pseudomonas aeruginosa
pseudomonasaerugenosa,Pseudomonas aeruginosa
pseudomonasaeruginisa,Pseudomonas aeruginosa
"pseudomonasaeruginoa
",Pseudomonas aeruginosa
pseudomonasaeruginoas103cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginoinsignificantcount
",Pseudomonas aeruginosa
pseudomonasaeruginoisa105cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginos105cfuml
",Pseudomonas aeruginosa
pseudomonasaeruginosa,Pseudomonas aeruginosa
"pseudomonasaeruginosa102cfuml
",Pseudomonas aeruginosa
pseudomonasaeruginosa103cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginosa104cfuml
",Pseudomonas aeruginosa
pseudomonasaeruginosa105cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginosa90cc10cfuml
",Pseudomonas aeruginosa
pseudomonasaeruginosaaeruginosa,Pseudomonas aeruginosa
"pseudomonasaeruginosacc100000cfuml
",Pseudomonas aeruginosa
pseudomonasaeruginosacc10000cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginosacc1000cfuml
",Pseudomonas aeruginosa
pseudomonasaeruginosacc1034cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginosacc103cfuml
",Pseudomonas aeruginosa
pseudomonasaeruginosacc104cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginosacc105cfum
",Pseudomonas aeruginosa
pseudomonasaeruginosacc105cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginosacc10cfuml
",Pseudomonas aeruginosa
"pseudomonasaeruginosainsigificantcount
",Pseudomonas aeruginosa
"pseudomonasaeruginosainsignificantcount
",Pseudomonas aeruginosa
"pseudomonasaeruginosainsignificantcountgrownonculture
",Pseudomonas aeruginosa
pseudomonasaeruginosainsignificantcounts,Pseudomonas aeruginosa
"pseudomonasaeruginosap
",Pseudomonas aeruginosa
pseudomonasaeruginosapp,Pseudomonas aeruginosa
"pseudomonasaeruginosawithcontaminants
",Pseudomonas aeruginosa
pseudomonasaeruginoscc103cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginose
",Pseudomonas aeruginosa
pseudomonasaeruginose104cfuml,Pseudomonas aeruginosa
"pseudomonasaeruginose105cfuml
",Pseudomonas aeruginosa
pseudomonasaerugiosa105cfuml,Pseudomonas aeruginosa
"pseudomonasaerugiunosa
",Pseudomonas aeruginosa
pseudomonasaerugniosa,Pseudomonas aeruginosa
"pseudomonasaerugnosa
",Pseudomonas aeruginosa
pseudomonasaerujinosa105cfuml,Pseudomonas aeruginosa
"pseudomonasaerunoginosa105cfuml
",Pseudomonas aeruginosa
pseudomonasaeuginiosa104cfuml,Pseudomonas aeruginosa
"pseudomonasaeuginosa
",Pseudomonas aeruginosa
pseudomonasaeuginosa105cfuml,Pseudomonas aeruginosa
"pseudomonasaeuroginosa
",Pseudomonas aeruginosa
pseudomonasaregunosa105cfuml,Pseudomonas aeruginosa
"pseudomonasareoginosa
",Pseudomonas aeruginosa
pseudomonasareuginosa,Pseudomonas aeruginosa
"pseudomonasareuginosa103cfuml
",Pseudomonas aeruginosa
pseudomonasareuginosa104cfuml,Pseudomonas aeruginosa
"pseudomonasareuginosa105cfuml
",Pseudomonas aeruginosa
pseudomonasaruginosa,Pseudomonas aeruginosa
"pseudomonasaruginosa105cfuml
",Pseudomonas aeruginosa
pseudomonasaueroginosa,Pseudomonas aeruginosa
pseudomonasaureous,Pseudomonas aeruginosa
"pseudomonasaureuginosa
",Pseudomonas aeruginosa
pseudomonasauroginosa105cfuml,Pseudomonas aeruginosa
"pseudomonasflorescence
",Pseudomonas fluorescens
pseudomonasfluorescens,Pseudomonas fluorescens
"pseudomonasfluoroscence
",Pseudomonas fluorescens
pseudomonasfluresence,Pseudomonas fluorescens
pseudomonasputida, Pseudomonas putida
"pseudomonasputida105cfuml
", Pseudomonas putida
pseudomonasputidacc102cfuml, Pseudomonas putida
pseudomonassp,Pseudomonas aeruginosa
"pseudomonassp103cfuml
",Pseudomonas aeruginosa
pseudomonassp104cfuml,Pseudomonas aeruginosa
pseudomonassp105cfuml,Pseudomonas aeruginosa
"pseudomonasspp
",Pseudomonas aeruginosa
pseudomonasspp102cfuml,Pseudomonas aeruginosa
"pseudomonasspp103cfuml
",Pseudomonas aeruginosa
pseudomonasspp104cfuml,Pseudomonas aeruginosa
"pseudomonasspp105cfuml
",Pseudomonas aeruginosa
pseudomonassppcc103cfuml,Pseudomonas aeruginosa
"pseudomonassppcc104cfuml
",Pseudomonas aeruginosa
pseudomonassppcc105,Pseudomonas aeruginosa
pseudomonassppcc105cfu,Pseudomonas aeruginosa
"pseudomonassppcc105cfuml
",Pseudomonas aeruginosa
pseudomonassppcc106cfuml,Pseudomonas aeruginosa
"pseudomonassppccinsignificantcount
",Pseudomonas aeruginosa
pseudomonassppgrownonculture,Pseudomonas aeruginosa
"pseudomonassppinsignificancount
",Pseudomonas aeruginosa
pseudomonassppinsignificantcount,Pseudomonas aeruginosa
"pseudomonassppinsignificantno
",Pseudomonas aeruginosa
pseudomonasspps,Pseudomonas aeruginosa
pseudomonassppunderidentification,Pseudomonas aeruginosa
"pseudomonassps
",Pseudomonas aeruginosa
pseudomonassps102cfuml,Pseudomonas aeruginosa
"pseudomonassps103ccfuml
",Pseudomonas aeruginosa
pseudomonassps103cfuml,Pseudomonas aeruginosa
pseudomonassps104,Pseudomonas aeruginosa
"pseudomonassps104cfuml
",Pseudomonas aeruginosa
pseudomonassps105cfuml,Pseudomonas aeruginosa
"pseudomonassps106cfuml
",Pseudomonas aeruginosa
pseudomonasspsaeruginosa,Pseudomonas aeruginosa
"pseudomonasspsinsignificantcount
",Pseudomonas aeruginosa
pseudomonasstutzeri,Pseudomonas aeruginosa
pseusomonasaereous,Pseudomonas aeruginosa
"psudomonasaeroginosa
",Pseudomonas aeruginosa
psuedomonasaeruginosa,Pseudomonas aeruginosa
psuedomonasauroginosa105cfuml,Pseudomonas aeruginosa
"psuedomonasspp
",Pseudomonas aeruginosa
salmonellaparatyphia,Salmonella-paratyphi
salmonellaspp,Salmonella-paratyphi
"salmonellatyphi
",Salmonella-paratyphi
salmonellatyphimurium,Salmonella-typhimurium
saureuscc104cfuml,Staphylococcus-aureus
"saureusmrsa
",Staphylococcus-aureus
saureusmrsacc105cfuml,Staphylococcus-aureus
saureusmssa,Staphylococcus-aureus
sepidermidis,Staphylococcus-epidermidis
"seratiamancescens
",Serratia-marcescens
serratiamarcescens,Serratia-marcescens
serratiamascescens,Serratia-marcescens
serretiamarscencens,Serratia-marcescens
"setrile
",
shewanellaputneficicus,Shewanella-putrefaciens
shewanellaputrefacies,Shewanella-putrefaciens
"shominismscons
",
srerile,
sschleferimrcons,
sshleferimscons,
"staphaueusmssa
",
staphaureusmrsa,Staphylococcus-aureus
staphaureusmssa,Staphylococcus-aureus
"staphepideremidiscontaminants
",Staphylococcus-epidermidis
staphepidermidis,Staphylococcus-epidermidis
staphhaemolyticuccontaminants,Staph-haemolyticus
"staphhaemolyticus
",Staph-haemolyticus
staphhaemolyticuscontaminants,Staph-haemolyticus
"staphhaemolyticusmrs
",Staph-haemolyticus
staphlococcusaureuscc104cfuml,Staphylococcus-aureus
"staphlococcusaureusmssa
",Staphylococcus-aureus
staphlugdunensiscontaminants,Staphylococcus-aureus
"staphyloccousaureous
",Staphylococcus-aureus
staphyloccusaureusmrsa,Staphylococcus-aureus
staphyloccusaureusmssa,Staphylococcus-aureus
"staphyloccuscapitis
",Staphylococcus-capitis
staphyloccushaemolyticus,Staphylococcus-capitis
"staphyloccushemolyticusmscons
",Staphylococcus-haemolyticus
staphyloccushominismscons,Staphylococcus-hominis
staphylococci,Staphylococcus
"staphylococcousaureous
",Staphylococcaceae
staphylococcousaureus,Staphylococcaceae
staphylococcousepidermidis,Staphylococcaceae
"staphylococcousspp
",Staphylococcaceae
staphylococcsaureusmssa,Staphylococcaceae
"staphylococcusaeruginosa105cfuml
",Staphylococcaceae
staphylococcusaueusmssa,Staphylococcaceae
"staphylococcusaureus
",Staphylococcaceae
staphylococcusaureus103cfuml,Staphylococcaceae
"staphylococcusaureus104cfuml
",Staphylococcaceae
staphylococcusaureus105cfuml,Staphylococcaceae
"staphylococcusaureuscc103cfuml
",Staphylococcaceae
staphylococcusaureuscc103cfumlmrsa,Staphylococcaceae
"staphylococcusaureuscc105cfuml
",Staphylococcaceae
"staphylococcusaureusinsignificantcountmssa
",Staphylococcaceae
"staphylococcusaureusmethicillinresistant
",Staphylococcaceae
staphylococcusaureusmethicillinsensitive,Staphylococcaceae
"staphylococcusaureusmrcons
",Staphylococcaceae
staphylococcusaureusmrsa,Staphylococcaceae
"staphylococcusaureusmrsa104cfuml
",Staphylococcaceae
staphylococcusaureusmrsa15colonies,Staphylococcaceae
"staphylococcusaureusmscons
",Staphylococcaceae
staphylococcusaureusmssa,Staphylococcaceae
"staphylococcusaureusmssa103cfuml
",Staphylococcaceae
staphylococcusaureusmssa105cfuml,Staphylococcaceae
"staphylococcusaureusmssacc104cfuml
",Staphylococcaceae
"staphylococcusaureusmssacc105cfuml
",Staphylococcaceae
"staphylococcusaureusmssagrownonsubculture
",Staphylococcaceae
staphylococcusaureusmssainsignificantcount,Staphylococcaceae
"staphylococcusauries
",Staphylococcaceae
staphylococcuscapilismrcons,Staphylococcus
"staphylococcuscapitismrcons
",Staphylococcus
staphylococcuscapitismscons,Staphylococcus
"staphylococcusconscoagnegmrcons
",Staphylococcus
staphylococcusconsspp,Staphylococcus
"staphylococcusepidermedisms
",Staphylococcus-epidermidis
staphylococcusepidermidesmscons,Staphylococcus-epidermidis
"staphylococcusepidermidis
",Staphylococcus-epidermidis
"staphylococcusepidermidiscoagulasenegativestaphylococcus
",Staphylococcus-epidermidis
"staphylococcusepidermidiscons
",Staphylococcus-epidermidis
"staphylococcusepidermidismethicillinsensitive
",Staphylococcus-epidermidis
staphylococcusepidermidismrcons,Staphylococcus-epidermidis
"staphylococcusepidermidismscons
",Staphylococcus-epidermidis
"staphylococcusepidermidismssa
",Staphylococcus-epidermidis
"staphylococcusepididermiscoagulasenegative
",Staphylococcus-epidermidis
staphylococcushaemalyticusmscons,Staphylococcus-haemolyticus
"staphylococcushaemoliticusmrcons
",Staphylococcus-haemolyticus
"staphylococcushaemoluticus
",Staphylococcus-haemolyticus
"staphylococcushaemolyicusmethicillinresistant
",Staphylococcus-haemolyticus
staphylococcushaemolytics,Staphylococcus-haemolyticus
"staphylococcushaemolyticus
",Staphylococcus-haemolyticus
"staphylococcushaemolyticusmethicillinresistant
",Staphylococcus-haemolyticus
staphylococcushaemolyticusmrcons,Staphylococcus-haemolyticus
"staphylococcushaemolyticusmrsa
",Staphylococcus-haemolyticus
staphylococcushaemolyticusmscons,Staphylococcus-haemolyticus
"staphylococcushaemolyticusmssa
",Staphylococcus-haemolyticus
"staphylococcushaemolytiusmscons
",Staphylococcus-haemolyticus
"staphylococcushemolyticesmethicillinresistant
",Staphylococcus-haemolyticus
staphylococcushemolytics,Staphylococcus-haemolyticus
"staphylococcushemolyticsmrcons
",Staphylococcus-haemolyticus
"staphylococcushemolyticus
",Staphylococcus-haemolyticus
"staphylococcushemolyticuscoagulasenegativestaphylococcusmrcons
",Staphylococcus-haemolyticus
"staphylococcushemolyticusmethicillinsensitive
",Staphylococcus-haemolyticus
staphylococcushemolyticusmrcons,Staphylococcus-haemolyticus
"staphylococcushemolyticusmscons
",Staphylococcus-haemolyticus
staphylococcushominis,Staphylococcus-hominis
"staphylococcushominismethicillinsensitive
",Staphylococcus-hominis
staphylococcushominismrcons,Staphylococcus-hominis
"staphylococcushominismscons
",Staphylococcus-hominis
staphylococcuslugdenesismscons,Staphylococcus-lugdunensis
"staphylococcuslugdunenismrcons
",Staphylococcus-lugdunensis
staphylococcuslugdunensis,Staphylococcus-lugdunensis
"staphylococcuslugdunensismrcons
",Staphylococcus-lugdunensis
staphylococcuslugdunensismscons,Staphylococcus-lugdunensis
"staphylococcuslugnidensis
",Staphylococcus-aureus
staphylococcusmrconsspp,Staphylococcus-aureus
"staphylococcusmscons
",Staphylococcus-aureus
staphylococcusmsconsspp,Staphylococcus-aureus
"staphylococcusmssa
",Staphylococcus-aureus
staphylococcusscheleferimrcons,Staphylococcus-schleiferi
"staphylococcusscheleferimscons
",Staphylococcus-schleiferi
staphylococcusschleferi,Staphylococcus-schleiferi
"staphylococcusschleferimrcons
",Staphylococcus-schleiferi
staphylococcusschleferimrcons15colonies,Staphylococcus-schleiferi
"staphylococcusschleferimscons
",Staphylococcus-schleiferi
"staphylococcusschleferisubschleferimrcons
",Staphylococcus-schleiferi
"staphylococcusschleferisubsppmrcons
",Staphylococcus-schleiferi
"staphylococcusschleferisubsppmscons
",Staphylococcus-schleiferi
"staphylococcusschleferisubsppschleferi
",Staphylococcus-schleiferi
"staphylococcusschleferisubsppschleferimrcons
",Staphylococcus-schleiferi
"staphylococcusschleferisubsppschleferimscons
",Staphylococcus-schleiferi
"staphylococcusschleferisubsppschleferimss
",Staphylococcus-schleiferi
"staphylococcusschleferisubsppschleferimsscons
",Staphylococcus-schleiferi
staphylococcusschleiferimrcons,Staphylococcus-schleiferi
"staphylococcusschlieferimrcons
",Staphylococcus-schleiferi
"staphylococcusschliferimscons
",Staphylococcus-schleiferi
"staphylococcusschliferisubsppschliferimscons
",Staphylococcus-schleiferi
staphylococcussehleferimrcons,Staphylococcus-schleiferi
"staphylococcussehleferimscons
",Staphylococcus-schleiferi
staphylococcusspp,Staphylococcus
staphylococcussppcoagneg,Staphylococcus
"staphylococcussppcons
",Staphylococcus
staphylococcussppconsmr,Staphylococcus
"staphylococcussppconsmrs
",Staphylococcus
staphylococcussppconsmss,Staphylococcus
"staphylococcussppmrcons
",Staphylococcus
staphylococcussppmrscons,Staphylococcus
"staphylococcussppmscons
",Staphylococcus
staphylococcussppmss,Staphylococcus
staphylococcussppmsscons,Staphylococcus
"staphylococcuswarneri
",Staphylococcus
staphylococucsaureusmssa,Staphylococcus-aureus
"staphylococusaureusmssa
",Staphylococcus-aureus
staphylococusepidermidismrcons,Staphylococcus-epidermidis
"staphylocousaureus
",Staphylococcus-aureus
stapylococcusaureus,Staphylococcus-aureus
"stapylococcusaureuscons
",Staphylococcus-aureus
"stapylococcusaureusmethicillinresistant
",Staphylococcus-aureus
stapylococcusaureusmethicillinsensitive,Staphylococcus-aureus
"stapylococcusaureusmrcons
",Staphylococcus-aureus
stapylococcusaureusmrsa,Staphylococcus-aureus
"stapylococcusaureusmrsacc103cfuml
",Staphylococcus-aureus
stapylococcusaureusmrthicillinsensitive,Staphylococcus-aureus
"stapylococcusaureusmssa
",Staphylococcus-aureus
stapylococcusaureusmssacc103cfuml,Staphylococcus-aureus
"stapylococcusaureusmssaeus
",Staphylococcus-aureus
stapylococcuscapitis,Staphylococcus-capitis
"stapylococcusepdermidismscons
",Staphylococcus-epidermidis
stapylococcusepidermi,Staphylococcus-epidermidis
"stapylococcusepidermidis
",Staphylococcus-epidermidis
stapylococcusepidermidismrcons,Staphylococcus-epidermidis
"stapylococcusepiermidis
",Staphylococcus-epidermidis
stapylococcushaemolyticus,Staphylococcus-haemolyticus
"stapylococcushaemolyticusmssa
",Staphylococcus-haemolyticus
stapylococcushemoliticusmrcons,Staphylococcus-haemolyticus
"stapylococcushemolyticusmrcons
",Staphylococcus-haemolyticus
stapylococcushominismethicillinsensitive,Staphylococcus-hominis
"stapylococcusmrcons
",Staphylococcus
stapylococcussimulansmsconis,Staphylococcus-simulans
"stapylococcussimulansmscons
",Staphylococcus-simulans
"stenotnophomonasmaltophiliainsignificantcount
",Stenotrophomonas-maltophilia
stenotrophomonasmaltophila,Stenotrophomonas-maltophilia
"stenotrophomonasmaltophilea
",Stenotrophomonas-maltophilia
stenotrophomonasmaltophilia,Stenotrophomonas-maltophilia
"stenotrophomonasmaltophiliacc103cfuml
",Stenotrophomonas-maltophilia
"stenotrophomonasmaltophiliacc104cfuml
",Stenotrophomonas-maltophilia
stenotrophomonasmaltophiliacc105cfuml,Stenotrophomonas-maltophilia
"stenotrophomonasmaltophillia
",Stenotrophomonas-maltophilia
stenotrophomonesmaltoophiliea,Stenotrophomonas-maltophilia
stenotrophonomasmaltophila,Stenotrophomonas-maltophilia
"sterile
",
streptococcimsconscoagneg,Staphylococcus-mssa
"streptococcushaemolyticusmrcons
",Staphylococcus-haemolyticus
streptococcuspneumoniae,Staphylococcal-pneumonia
"streptococcuspneumoniaespp
",Staphylococcal-pneumonia
streptococcusschleferimrcons,Streptococcus 
streptococcusspp,Streptococcus 
"streptococcusviridans
",viridans streptococci
streptococcusviridanscalis,viridans streptococci
"typesofbacteriagrownpredominantlygnb
",Mixed growth
viridansstreptococci,viridans streptococci
"yeastgrownonculture
",Yeast
